"attr_oid","attr_time","fValue","RESULT_ANA_STOP","fMax","tMax","fMin","tMin","fAvgValue","fLoadRatio","fMaxP","fMinP","fMaxQ","fMinQ","fMaxI","fMinI","usStateTag"
"4222125050232835","1469984400","0","1","0","1469984400000","0","1469984400000","0","0","0","0","0","0","0","0","537395200"
"4222125049970691","1469984400","26.5","1","26.5","1469984400000","26.5","1469984400000","26.5","0","0","0","0","0","0","0","537395200"
"4222124661080076","1469984400","56732800","1","56732800","1469984400000","56732800","1469984400000","56732800","0","0","0","0","0","0","0","537395200"
"4222124660817932","1469984400","0","1","0","1469984400000","0","1469984400000","0","0","0","0","0","0","0","0","537395200"
"4222125050822659","1469984400","8.766","1","8.766","1469984400000","8.766","1469984400000","8.766","0","0","0","0","0","0","0","537395200"
"4222125050560515","1469984400","0.048","1","0.048","1469984400000","0.048","1469984400000","0.048","0","0","0","0","0","0","0","537395200"
"4222125050298371","1469984400","7.317","1","7.317","1469984400000","7.317","1469984400000","7.317","0","0","0","0","0","0","0","537395200"
"4222125050036227","1469984400","467.75","1","467.75","1469984400000","467.75","1469984400000","467.75","0","0","0","0","0","0","0","537395200"
"4222124661145612","1469984400","0","1","0","1469984400000","0","1469984400000","0","0","0","0","0","0","0","0","537395200"
"4222124660883468","1469984400","0","1","0","1469984400000","0","1469984400000","0","0","0","0","0","0","0","0","537395200"
"4222125050953731","1469984400","0","1","0","1469984400000","0","1469984400000","0","0","0","0","0","0","0","0","537395200"
"4222124660621324","1469984400","0","1","0","1469984400000","0","1469984400000","0","0","0","0","0","0","0","0","537395200"
"4222125050691587","1469984400","0","1","0","1469984400000","0","1469984400000","0","0","0","0","0","0","0","0","537395200"
"4222125050429443","1469984400","0","1","0","1469984400000","0","1469984400000","0","0","0","0","0","0","0","0","537395200"
"4222125050167299","1469984400","0","1","0","1469984400000","0","1469984400000","0","0","0","0","0","0","0","0","537395200"
"4222124661211148","1469984400","24.093","1","24.093","1469984400000","24.093","1469984400000","24.093","0","0","0","0","0","0","0","537395200"
"4222124660949004","1469984400","4.403","1","4.403","1469984400000","4.403","1469984400000","4.403","0","0","0","0","0","0","0","537395200"
"4222124660686860","1469984400","3.559","1","3.559","1469984400000","3.559","1469984400000","3.559","0","0","0","0","0","0","0","537395200"
"4222125050757123","1469984400","0","1","0","1469984400000","0","1469984400000","0","0","0","0","0","0","0","0","537395200"
"4222125050494979","1469984400","0","1","0","1469984400000","0","1469984400000","0","0","0","0","0","0","0","0","537395200"
