Version CSV1|Tool CLUSTERCONTROLLER|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743351 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743465 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 (),SN: 1900743628 ()
,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,Cluster Controller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,165008225,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743351,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743465,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628,1900743628
,Metering.TotWhOut,Operation.GriSwCnt,Metering.TotOpTms,Metering.TotFeedTms,Metering.GridMs.TotWhOut,GridMs.TotW,GridMs.Hz,Isolation.FltA,Isolation.LeakRis,DcMs.Vol[A],DcMs.Vol[B],DcMs.Amp[A],DcMs.Amp[A1],DcMs.Amp[B],DcMs.Amp[B1],GridMs.PhV.phsA,GridMs.PhV.phsB,GridMs.PhV.phsC,GridMs.A.phsA,GridMs.A.phsB,GridMs.A.phsC,DcMs.Watt[A],DcMs.Watt[B],Operation.Health,Operation.Evt.Prio,Operation.Evt.Msg,Operation.Evt.Dsc,InOut.AnInA1,InOut.AnInA2,InOut.AnInA3,InOut.AnInVol4,Env.ExInsol,Env.TmpVal,Mdul.TmpVal,Metering.TotWhOut,Operation.GriSwCnt,Metering.TotOpTms,Metering.TotFeedTms,Metering.GridMs.TotWhOut,GridMs.TotW,GridMs.Hz,Isolation.FltA,Isolation.LeakRis,DcMs.Vol[A],DcMs.Vol[B],DcMs.Amp[A],DcMs.Amp[A1],DcMs.Amp[B],DcMs.Amp[B1],GridMs.PhV.phsA,GridMs.PhV.phsB,GridMs.PhV.phsC,GridMs.A.phsA,GridMs.A.phsB,GridMs.A.phsC,DcMs.Watt[A],DcMs.Watt[B],Operation.Health,Operation.Evt.Prio,Operation.Evt.Msg,Operation.Evt.Dsc,Metering.TotWhOut,Operation.GriSwCnt,Metering.TotOpTms,Metering.TotFeedTms,Metering.GridMs.TotWhOut,GridMs.TotW,GridMs.Hz,Isolation.FltA,Isolation.LeakRis,DcMs.Vol[A],DcMs.Vol[B],DcMs.Amp[A],DcMs.Amp[A1],DcMs.Amp[B],DcMs.Amp[B1],GridMs.PhV.phsA,GridMs.PhV.phsB,GridMs.PhV.phsC,GridMs.A.phsA,GridMs.A.phsB,GridMs.A.phsC,DcMs.Watt[A],DcMs.Watt[B],Operation.Health,Operation.Evt.Prio,Operation.Evt.Msg,Operation.Evt.Dsc,Metering.TotWhOut,Operation.GriSwCnt,Metering.TotOpTms,Metering.TotFeedTms,Metering.GridMs.TotWhOut,GridMs.TotW,GridMs.Hz,Isolation.FltA,Isolation.LeakRis,DcMs.Vol[A],DcMs.Vol[B],DcMs.Amp[A],DcMs.Amp[A1],DcMs.Amp[B],DcMs.Amp[B1],GridMs.PhV.phsA,GridMs.PhV.phsB,GridMs.PhV.phsC,GridMs.A.phsA,GridMs.A.phsB,GridMs.A.phsC,DcMs.Watt[A],DcMs.Watt[B],Operation.Health,Operation.Evt.Prio,Operation.Evt.Msg,Operation.Evt.Dsc
,Counter,Counter,Counter,Counter,Counter,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Status,Status,Status,Status,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Counter,Counter,Counter,Counter,Counter,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Status,Status,Status,Status,Counter,Counter,Counter,Counter,Counter,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Status,Status,Status,Status,Counter,Counter,Counter,Counter,Counter,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Analog,Status,Status,Status,Status
DD.MM.YYYY hh:mm ,kWh,,h,h,kWh,W,Hz,mA,kOhm,V,V,A,A,A,A,V,V,V,A,A,A,W,W,,,,,mA,mA,mA,V,W/m²,°C,°C,kWh,,h,h,kWh,W,Hz,mA,kOhm,V,V,A,A,A,A,V,V,V,A,A,A,W,W,,,,,kWh,,h,h,kWh,W,Hz,mA,kOhm,V,V,A,A,A,A,V,V,V,A,A,A,W,W,,,,,kWh,,h,h,kWh,W,Hz,mA,kOhm,V,V,A,A,A,A,V,V,V,A,A,A,W,W,,,,
20.09.2016 13:40,74.42,40,33.63,30.54,0,26,49.98,0,3000,672.6,0,0.181,0.183,0,0,238.25,238.52,238.99,0.026,0.037,0.046,362,0,Ok,NonePrio,None,None,7.54,0,0,2.06,443,30.9,0,12.36,13,10.63,9.21,0,10,49.98,0,3000,672.27,0,0.182,0.186,0,0,238.34,238.62,239.14,0.027,0.038,0.045,121,0,Ok,NonePrio,None,None,48.14,11,10.42,9.81,0,10,49.98,0,3000,670.01,0,0.176,0.177,0,0,238.12,238.39,238.88,0.019,0.032,0.039,117,0,Ok,NonePrio,None,None,13.93,16,12.58,11.52,0,6,49.98,1,3000,675.54,0,0.186,0.189,0,0,238.31,238.56,238.97,0.032,0.043,0.054,124,0,Ok,NonePrio,None,None
20.09.2016 13:45,74.42,40,33.88,30.79,0,26,49.98,0,3000,681.49,0,0.185,0.186,0,0,238.25,238.52,238.99,0.026,0.037,0.046,376,0,Ok,NonePrio,None,None,7.51,0,0,2.06,439,29.4,0,12.36,13,10.72,9.29,0,10,49.98,0,3000,681.32,0,0.186,2.932,0,0,238.34,238.62,239.14,0.027,0.038,0.045,126,0,Ok,NonePrio,None,None,48.14,11,10.5,9.89,0,10,49.98,0,3000,678.53,0,0.18,0.179,0,0,238.12,238.39,238.88,0.019,0.032,0.039,121,0,Ok,NonePrio,None,None,13.93,16,12.67,11.61,0,6,49.98,0,3000,684.64,0,0.189,0.186,0,0,238.31,238.56,238.97,0.032,0.043,0.054,129,0,Ok,NonePrio,None,None
20.09.2016 13:50,74.43,40,34.13,31.04,0,19,49.99,0,3000,682.34,0,0.186,0.18,0,0,238.99,239.32,239.81,0.019,0.03,0.038,375,0,Ok,NonePrio,None,None,7.48,0,0,2.06,435,36.4,0,12.36,13,10.8,9.37,0,6,50,0,3000,682.13,0,0.193,0.182,0,0,239.1,239.43,239.97,0.019,0.03,0.036,126,0,Ok,NonePrio,None,None,48.14,11,10.58,9.97,0,7,49.99,0,3000,679.88,0,0.178,0.177,0,0,238.84,239.18,239.68,0.014,0.025,0.033,120,0,Ok,NonePrio,None,None,13.93,16,12.75,11.69,0,6,50,0,3000,685.01,0,0.189,0.186,0,0,239.04,239.35,239.78,0.025,0.035,0.047,129,0,Ok,NonePrio,None,None
20.09.2016 13:55,74.43,40,34.38,31.29,0,19,49.99,0,3000,668.03,0,0.175,0.17,0,0,238.99,239.32,239.81,0.019,0.03,0.038,347,0,Ok,NonePrio,None,None,6.42,0,0,2.06,303,36.1,0,12.36,13,10.88,9.46,0,6,50,0,3000,667.69,0,0.175,0.17,0,0,239.1,239.43,239.97,0.019,0.03,0.036,116,0,Ok,NonePrio,None,None,48.14,11,10.67,10.06,0,7,49.99,0,3000,665.59,0,0.169,0.165,0,0,238.84,239.18,239.68,0.014,0.025,0.033,111,0,Ok,NonePrio,None,None,13.93,16,12.83,11.77,0,6,50,0,3000,670.83,0,0.181,0.176,0,0,239.04,239.35,239.78,0.025,0.035,0.047,120,0,Ok,NonePrio,None,None
20.09.2016 14:00,74.43,40,34.63,31.54,0,31,49.98,1,3000,653.26,0,0.167,0.162,0,0,239.27,239.53,240.11,0.05,0.059,0.063,321,0,Ok,NonePrio,None,None,6.17,0,0,2.06,272,34.8,0,12.36,13,10.97,9.54,0,12,49.98,1,3000,652.67,0,0.171,0.163,0,0,239.38,239.65,240.28,0.053,0.061,0.063,108,0,Ok,NonePrio,None,None,48.14,11,10.75,10.14,0,12,49.98,1,3000,651.07,0,0.16,0.154,0,0,239.13,239.39,239.99,0.044,0.055,0.056,103,0,Ok,NonePrio,None,None,13.93,16,12.92,11.86,0,7,49.98,1,3000,656.06,0,0.17,0.165,0,0,239.32,239.55,240.07,0.055,0.063,0.07,110,0,Ok,NonePrio,None,None
