sep=;
Version CSV1|Tool CLUSTERCONTROLLER|Linebreaks CR/LF|Delimiter semicolon|Decimalpoint dot|Precision 2

;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743351 (SN: 1900743351);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743465 (SN: 1900743465);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628);SN: 1900743628 (SN: 1900743628)
;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;Cluster Controller;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30;STP 25000TL-30
;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;165008225;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743351;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743465;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628;1900743628
;Metering.TotWhOut;Operation.GriSwCnt;Metering.TotOpTms;Metering.TotFeedTms;Metering.GridMs.TotWhOut;GridMs.TotW;GridMs.Hz;Isolation.FltA;Isolation.LeakRis;DcMs.Vol[A];DcMs.Vol[B];DcMs.Amp[A];DcMs.Amp[A1];DcMs.Amp[B];DcMs.Amp[B1];GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;GridMs.A.phsA;GridMs.A.phsB;GridMs.A.phsC;DcMs.Watt[A];DcMs.Watt[B];Operation.Health;Operation.Evt.Prio;Operation.Evt.Msg;Operation.Evt.Dsc;InOut.AnInA1;InOut.AnInA2;InOut.AnInA3;InOut.AnInVol4;Env.ExInsol;Env.TmpVal;Mdul.TmpVal;Metering.TotWhOut;Operation.GriSwCnt;Metering.TotOpTms;Metering.TotFeedTms;Metering.GridMs.TotWhOut;GridMs.TotW;GridMs.Hz;Isolation.FltA;Isolation.LeakRis;DcMs.Vol[A];DcMs.Vol[B];DcMs.Amp[A];DcMs.Amp[A1];DcMs.Amp[B];DcMs.Amp[B1];GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;GridMs.A.phsA;GridMs.A.phsB;GridMs.A.phsC;DcMs.Watt[A];DcMs.Watt[B];Operation.Health;Operation.Evt.Prio;Operation.Evt.Msg;Operation.Evt.Dsc;Metering.TotWhOut;Operation.GriSwCnt;Metering.TotOpTms;Metering.TotFeedTms;Metering.GridMs.TotWhOut;GridMs.TotW;GridMs.Hz;Isolation.FltA;Isolation.LeakRis;DcMs.Vol[A];DcMs.Vol[B];DcMs.Amp[A];DcMs.Amp[A1];DcMs.Amp[B];DcMs.Amp[B1];GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;GridMs.A.phsA;GridMs.A.phsB;GridMs.A.phsC;DcMs.Watt[A];DcMs.Watt[B];Operation.Health;Operation.Evt.Prio;Operation.Evt.Msg;Operation.Evt.Dsc;Metering.TotWhOut;Operation.GriSwCnt;Metering.TotOpTms;Metering.TotFeedTms;Metering.GridMs.TotWhOut;GridMs.TotW;GridMs.Hz;Isolation.FltA;Isolation.LeakRis;DcMs.Vol[A];DcMs.Vol[B];DcMs.Amp[A];DcMs.Amp[A1];DcMs.Amp[B];DcMs.Amp[B1];GridMs.PhV.phsA;GridMs.PhV.phsB;GridMs.PhV.phsC;GridMs.A.phsA;GridMs.A.phsB;GridMs.A.phsC;DcMs.Watt[A];DcMs.Watt[B];Operation.Health;Operation.Evt.Prio;Operation.Evt.Msg;Operation.Evt.Dsc
;Counter;Counter;Counter;Counter;Counter;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Status;Status;Status;Status;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Counter;Counter;Counter;Counter;Counter;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Status;Status;Status;Status;Counter;Counter;Counter;Counter;Counter;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Status;Status;Status;Status;Counter;Counter;Counter;Counter;Counter;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Analog;Status;Status;Status;Status
DD.MM.YYYY hh:mm ;kWh;;h;h;kWh;W;Hz;mA;kOhm;V;V;A;A;A;A;V;V;V;A;A;A;W;W;;;;;mA;mA;mA;V;W/m²;°C;°C;kWh;;h;h;kWh;W;Hz;mA;kOhm;V;V;A;A;A;A;V;V;V;A;A;A;W;W;;;;;kWh;;h;h;kWh;W;Hz;mA;kOhm;V;V;A;A;A;A;V;V;V;A;A;A;W;W;;;;;kWh;;h;h;kWh;W;Hz;mA;kOhm;V;V;A;A;A;A;V;V;V;A;A;A;W;W;;;;
21.09.2016 10:50;;;;;;;;0.00;3000.00;651.47;0;0.116;0;0;0;;;;;;;149;0;Ok;NonePrio;None;None;8.41;0;0;2.06;552;36;0;;;;;;;;0.00;3000.00;652.36;0;0.109;0;0;0;;;;;;;70;0;Ok;NonePrio;None;None;;;;;;;;1.00;3000.00;650.58;0;0.123;0.159;0;0;;;;;;;79;0;Ok;NonePrio;None;None;;;;;;;;;;;;;;;;;;;;;;;;;;;
21.09.2016 10:55;80.20;52;44.84;40.85;0.00;15;49.99;0.00;3000.00;656.5;0;0.094;0;0;0;240.13;240.42;240.95;0.045;0.051;0.049;184;0;Alm;PrioC;GriFlt;None;11.52;0;0;2.06;940;37.9;0;13.65;18;14.10;12.14;0.00;0;49.99;0.00;3000.00;654.93;0;0;0;0;0;240.2;240.52;241.09;0;0;0;0;0;Alm;PrioC;GriFlt;None;50.48;14;14.39;13.59;0.00;7;49.99;0.00;3000.00;652.43;0;0.162;0;0;0;240;240.31;240.84;0.09;0.103;0.093;104;0;Ok;NonePrio;None;None;16.07;20;16.35;15.11;0.00;8;50;0.00;3000.00;662.14;0;0.122;0;0;0;240.19;240.43;240.92;0.047;0.051;0.055;80;0;Ok;NonePrio;None;None
21.09.2016 11:00;80.20;52;45.09;40.85;0.00;0;49.98;0.00;3000.00;665.28;0;0;0;0;0;240.39;240.73;241.24;0;0;0;0;0;Alm;PrioC;GriFlt;None;8.01;0;0;2.06;502;35.4;0;13.65;18;14.18;12.14;0.00;0;49.99;0.00;3000.00;663.97;0;0;0;0;0;240.2;240.52;241.09;0;0;0;0;0;Alm;PrioC;GriFlt;None;50.48;14;14.47;13.59;0.00;0;50.01;0.00;3000.00;663.39;0;0;0;0;0;241.1;241.45;241.96;0;0;0;0;0;Alm;PrioC;GriFlt;None;16.07;20;16.43;15.11;0.00;0;49.96;0.00;3000.00;668.5;0;0;0;0;0;239.89;240.22;240.69;0;0;0;0;0;Alm;PrioC;GriFlt;None
21.09.2016 11:05;80.41;54;45.08;40.87;0.00;0;49.99;3.00;3000.00;660.3;0;0;0;0;0;238.85;239.19;239.71;0;0;0;0;0;Ok;NonePrio;None;None;8.07;0;0;2.06;508;36.1;0;13.65;18;14.27;12.14;0.00;0;49.99;0.00;3000.00;651.69;0;0;0;0;0;238.62;238.95;239.5;0;0;0;0;0;Ok;NonePrio;None;None;50.48;15;14.42;13.59;0.00;0;49.99;0.00;3000.00;659.91;0;0;16.234;0;0;239.36;239.74;240.27;0;0;0;0;0;Ok;NonePrio;None;None;16.27;21;16.39;15.13;0.00;0;49.99;9.00;3000.00;669.32;0;0;16.449;0;0;238.58;238.89;239.36;0.001;0.001;0.002;0;0;Ok;NonePrio;None;None
21.09.2016 11:10;;;;;;;;;;;;;;;;;;;;;;;;Ok;NonePrio;None;None;8.38;0;0;2.06;548;36;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
